S.NO.,PROJECT,DESCRIPTION,PART CODE,SERIAL,OPENING STOCK,ISSUED,RECD.,CLOSING STOCK,TEST BENCH,ALMIRA NO,ZONE,BIN,PICTURE,TYPE,LOCATION,COMMON PROJECTS,VENDOR,VENDOR ADDRESS,OLD DESCRIPTION,OLD PARTCODE,REMARKS,Unnamed: 22,Unnamed: 23,Unnamed: 24
254,KYLIN,SIFO SF5421A01 RELAY DRIVER BOARD SF54210A1,SF180402070019,SF54210A1,1,0,0,1,,M03,00A,SHELF 1,CARD,CARD,M03-00A-SHELF 1,,SIFO,CHINA,SIFO SF54210A1,SF180402070019,,,,
255,KYLIN,POWER CABLE WITH CONNECTOR 2 FRXX AMPHENOL ,1-Z2S1821 4000382 00040211,,0,0,0,0,,M03,00A,SHELF 4,CABLE,CABLE,M03-00A-SHELF 4,,,,POWER CABLE 2 FRXX AMPHENOL ,1-Z2S1821 4000382 00040211,,,,
256,KYLIN,FINISAR SFP,FTLX1370W3BTL,,0,0,0,0,,M03,00A,SHELF 3,SFP ,SFP,M03-00A-SHELF 3,,,,FINISAR SFP,FTLX1370W3BTL,,,,
257,FRM3.3.2 & VEGAS,PSU RECEPTACLE CO043667,KS-075 47 G,PINS,117,0,0,117,,M03,00C,BOX 1,RECEPTICLE,PIN,M03-00C-BOX 1,FRM 3.2/ VEGAS/ QUASAR/ MEDUSA/ FSM REL3/ AIRSCALE SM,NOKIA FINLAND,INDIA,FRGT/FRGS PSU SPAREPARTS RECEPTACLE,KS-075 47 G,,,,
258,KYLIN,RECEPTACLE P02-11330000,KS-113 30,,24,0,0,24,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,RECEPTACLE,KS-113 30,,,,
259,KYLIN,PRESSURE REGULATING VALVE WITH POWER CON,SY5320-5LZD-01 C14-SY5320-5LZD,1971FT850EBJA,11,0,0,11,,M03,00A,BOX 4,RELAY,RELAY,M03-00A-BOX 4,,ORBIS SYSTEM,INDIA,PRESSURE REGULATING VALVE WITH POWER CON,SY5320-5LZD-01 C14-SY5320-5LZD,,,,
260,KYLIN,PRESSURE REGULATING VALVE ,C-1400000080 SY5120-5IZD-01 C14-00000080 197FT830EBJA,1971FT850EB 009-4-03,6,0,0,6,,M03,00A,BOX 4,RELAY,RELAY,M03-00A-BOX 4,,,,PRESSURE REGULATING VALVE ,C-1400000080 SY5120-5IZD-01 C14-00000080 197FT830EBJA,,,,
261,KYLIN,SENSERS PCB UP DOWN CONTROL SENSOR (PCB1 SENSOR),305-000008-00 1971FT850EB,190727007,15,0,0,15,,M03,00A,BOX 3,CABLE,CABLE,M03-00A-BOX 3,,,,SENSERS PCB UP DOWN CONTROL SENSOR (PCB1 SENSOR),305-000008-00 1971FT850EB,,,,
262,KYLIN,SCREW FIXTURE (BIG) & SCREW FIXTURE CONTOUR SCREW (BIG),V08-AZNAP074 1971FT850EB ,016-2-03 191029012,8,0,0,8,,M03,00A,BOX 4,SCREW,SCREW,M03-00A-BOX 4,,,,SCREW FIXTURE (BIG) & SCREW FIXTURE CONTOUR SCREW (BIG),V08-AZNAP074 1971FT850EB ,,,,
263,KYLIN,SMALL SCREW FIXTURE (M 2.5 SCREW) 1,SMALL SCREW M2.5,SMALL SCREW,20,0,0,20,,M03,00A,BOX 4,SCREW,SCREW,M03-00A-BOX 4,,,,SMALL SCREW FIXTURE (M 2.5 SCREW) 1,SMALL SCREW,,,,
264,KYLIN,RF GUIDE BLOCK (CPST) SCREW,V08-AZNAAC02 1971FT850EB,086-3-03 190727013,20,0,0,20,,M03,00A,BOX 4,SCREW,SCREW,M03-00A-BOX 4,,,,RF GUIDE BLOCK (CPST) SCREW,V08-AZNAAC02 1971FT850EB,,,,
265,KYLIN,SMALL SCREW FIXTURE (M 2.5 SCREW) 2,LONG SCREW W02-00000041 ,1971FT850EBJA,20,0,0,20,,M03,00A,BOX 4,SCREW,SCREW,M03-00A-BOX 4,,,,SMALL SCREW FIXTURE (M 2.5 SCREW) 2,LONG SCREW W02-00000041 ,,,,
266,KYLIN,RF GUIDE BLOCK (CPST),V08-AZNAAC03 1971FT850EB ,088-4-05 190727013 ,5,0,0,5,,M03,00A,BOX 4,COVER,COVER,M03-00A-BOX 4,,,,RF GUIDE BLOCK (CPST),V08-AZNAAC03 1971FT850EB ,,,,
267,KYLIN,50 PIN GUIDE BLOCK,CSF19070940 V08AZNAP087 ,1971FT850EBJA,10,0,0,10,,M03,00A,BOX 4,COVER,COVER,M03-00A-BOX 4,,,,50 PIN GUIDE BLOCK,CSF19070940 V08AZNAP087 ,,,,
268,KYLIN,PING GUIDE BLOCK,V08-FZHNB060,1971FT850EB 016-3-06,2,0,0,2,,M03,00A,BOX 4,COVER,COVER,M03-00A-BOX 4,,,,PING GUIDE BLOCK,V08-FZHNB060,,,,
269,KYLIN,GUIDE BLOCK,V08-FZHNB033 1971FT850EB,27-4-0  190727019,3,0,0,3,,M03,00A,BOX 4,COVER,COVER,M03-00A-BOX 4,,,,GUIDE BLOCK,V08-FZHNB033 1971FT850EB,,,,
270,KYLIN,CONTROL VALVE,RVUM6-6 LOT 29-0944E C14-00000131 ,1971FT850EBJA,5,0,0,5,,M03,00A,BOX 4,VALVE,VALVE,M03-00A-BOX 4,,,,CONTROL VALVE,RVUM6-6 LOT 29-0944E C14-00000131 ,,,,
271,KYLIN,POWER CONVERTOR (28 VOLT TO 24 VOLT),MORNSUN VRB2424LD-50W A4S IN 18 -36 VDC OUTPUT 24V 112-000054-00 003-4-05,CSF19070961 VRB2424LD-50WA4S,9,0,0,9,,M03,00A,BOX 2,POWER CONNECTOR,RELAY,M03-00A-BOX 2,,,,POWER CONVERTOR (28 VOLT TO 24 VOLT),MORNSUN VRB2424LD-50W A4S IN 18 -36 VDC OUTPUT 24V 112-000054-00 003-4-05,,,,
272,KYLIN,RELAY BOARDS,602-000002-00 1971FT830EBDA,098-1-01,6,0,0,6,,M03,00A,SHELF 1,RELEY BOARD,RELAY BOARD,M03-00A-SHELF 1,,,,RELAY BOARDS,602-000002-00 1971FT830EBDA,,,,
273,KYLIN,POWER MAIN CONTROL BOARD ,SIFO SF53840A1 GBR_16021700_CN_A01 D,BAND CYLINDER CONTROL,4,0,0,4,,M03,00A,SHELF 1,CARD,CARD,M03-00A-SHELF 1,,SIFO,CHINA,POWER MAIN CONTROL BOARD ,SIFO SF53840A1 GBR_16021700_CN_A01 D ,,,,
274,KYLIN,N (M) - SMA (M) RF CABLE 0.6 M,N (M) - SMA (M) RF CABLE 0.6 M,,5,0,0,5,,M03,00A,BOX 3,CABLE,CABLE,M03-00A-BOX 3,,,,N (M) - SMA (M) RF CABLE 0.6 M,N (M) - SMA (M) RF CABLE 0.6 M,,,,
275,KYLIN,SMA (M)- SMA (M) RF CABLE 1M ,SMA (M)- SMA CABLE 1M ,,5,0,0,5,,M03,00A,BOX 3,CABLE,CABLE,M03-00A-BOX 3,,,,SMA (M)- SMA CABLE 1M ,SMA (M)- SMA CABLE 1M ,,,,
276,KYLIN,NRP Z11 (M209039) (M209031),NRP Z11 (M209039) (M209031),,0,0,0,0,,M03,00A,SHELF 4,CONNECTOR,SENSOR,M03-00A-SHELF 4,FRM 3.2/ VEGAS/ AMBER/ GALVATRON/ AIRSCALE SM/ COMPASS/ MEDUSA/ KYLIN/ FLEXY RRH/ QUASAR/ FSM REL3/GALAXY,,,NRP Z11 (M209039) (M209031),NRP Z11 (M209039) (M209031),,,,
277,KYLIN,RF CONNECTOR 1,RF CONNECTOR 1,,3,0,0,3,,M03,00A,BOX 5,CONNECTOR,CONNECTOR,M03-00A-BOX 5,,,,RF CONNECTOR 1,RF CONNECTOR 1,,,,
278,KYLIN,GPS DISTRIBUTION AMPLIFIER,GPS DISTRIBUTION AMPLIFIER,,0,0,0,0,,M03,00A,SHELF 4,AMPLIFIER,AMPLIFIRE,M03-00A-SHELF 4,MULTIPLE PROJECTS,,,GPS DISTRIBUTION AMPLIFIER,GPS DISTRIBUTION AMPLIFIER,,,,
279,KYLIN,POWER CABLE FOR RU - 2 WAY PIN,POWER CABLE FOR RU,,2,0,0,2,,M03,00B,SHELF 1,CABLE,CABLE,M03-00B-SHELF 1,,,,POWER CABLE FOR RU,POWER CABLE FOR RU,,,,
280,KYLIN,N (M) N (M) RF CABLE 3M,B6300-6G-NN11-3000,,0,0,0,0,,M03,00A,SHELF 4,CABLE,CABLE,M03-00A-SHELF 4,,,,N (M) N (M) RF CABLE 3M,B6300-6G-NN11-3000,,,,
281,KYLIN,TADA CARD,E100801,6648/12,1,0,0,1,,M03,00A,SHELF 2,CARD,CARD,M03-00A-SHELF 2,,SIFO,CHINA,TADA,E100801,,,,
282,KYLIN,TADA 2 CARD,3705660404.01,KE00848836,1,0,0,1,,M03,00A,SHELF 2,CARD,CARD,M03-00A-SHELF 2,,SIFO,CHINA,TADA 2,3705660404.01,,,,
283,KYLIN,GPS SIGNAL TRANSPONDER,779205-01,,1,0,0,1,,M03,00A,SHELF 5,GPS,TRANSPONDER,M03-00A-SHELF 5,MULTIPLE PROJECTS,,,GPS SIGNAL TRANSPONDER,779205-01,,,,
284,KYLIN,GPS ANTENNA,NA 13,,0,0,0,0,,M03,00A,SHELF 4,ANTENA,ANTENA,M03-00A-SHELF 4,MULTIPLE PROJECTS,,,GPS ANTENNA AMPLIFIER,NA 13,,,,
285,FLEXI RRH,LOW PIM ADAPTER 4.1/9.5M-NF CONNECTOR,AFZ21-1,,23,0,0,23,,M03,00A,SHELF 3,ADAPTER,ADAPTER,M03-00A-SHELF 3,,,,LOW PIM ADAPTER 4.1/9.5M-NF CONNECTOR,AFZ21-1,,,,
286,KYLIN,FYGE,472978A.102,7W182600101,0,0,0,0,,M03,00A,SHELF 3,FYGE,FYGE,M03-00A-SHELF 3,MULTIPLE PROJECTS,NOKIA FINLAND,FINLAND,FYGE,472978A.102,,,,
287,KYLIN,FAN,3030,,5,0,0,5,,M03,00A,BOX 2,FAN,FAN,M03-00A-BOX 2,,,,FAN,3030,,,,
288,KYLIN,FAN,4545,,2,0,0,2,,M03,00A,BOX 2,FAN,FAN,M03-00A-BOX 2,,,,FAN,4545,,,,
289,KYLIN,FAN,6060,,5,0,0,5,,M03,00A,BOX 2,FAN,FAN,M03-00A-BOX 2,,,,FAN,6060,,,,
290,KYLIN,FAN,8080,,5,0,0,5,,M03,00A,BOX 2,FAN,FAN,M03-00A-BOX 2,,,,FAN,8080,,,,
291,KYLIN,RECEPTACLE,KS-150 30,,9,0,0,9,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,RECEPTACLE,KS-150 30,,,,
292,KYLIN,"RJ-PLUGS RJ-45 , 8-CHANNELS",17826,,1,0,0,1,,M03,00A,BOX 4,COVER,COVER,M03-00A-BOX 4,,,,"RJ-PLUGS RJ-45 , 8-CHANNELS",17826,,,,
293,FRM3.3.2 & VEGAS,RF TEST PROBE KS-810,L1-12-04,PINS,50,0,0,50,TRX FE FUNCTIONAL TEST BENCH,M03,00C,BOX 1,RF RECEPTICE,PIN,M03-00C-BOX 1,,ORBIS SYSTEM,INDIA,KS-810;KS-810;713306;100;5,L1-12-04,,,,
294,KYLIN,SPRING FOR CPST ADAPTER ,W1350000003,,8,0,0,8,,M03,00A,BOX 4,SPRING,SPRING,M03-00A-BOX 4,,,,SPRING FOR CPST ADAPTER ,W1350000003,,,,
295,KYLIN,48 VOLT 4 PIN CONNECTOR ,NA8,,5,0,0,5,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,48 VOLT 4 PIN CONNECTOR ,NA8,,,,
296,KYLIN,FLOWER TYPE PROBE,P01-07536009 P205,1961FT675EBJA ,8,0,0,8,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,EXTRA 1,P01-07536009 P205,,,,
297,KYLIN,CONNECTOR ,RJ-45,,2,0,0,2,,M03,00A,BOX 4,RJ 45,CONNECTOR,M03-00A-BOX 4,,,, CONNECTOR ,RJ-45,,,,
298,KYLIN,OPTICAL FIBRE STAND,V08-AZNAAAC09,,2,0,0,2,,M03,00A,BOX 4,COVER,COVER,M03-00A-BOX 4,,,,optical fibre stand,V08-AZNAAAC09,,,,
299,KYLIN,PIN,P01-10288150,,8,0,0,8,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P01-10288150,,,,
300,KYLIN,PIN,P01-102891090,,8,0,0,8,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P01-102891090,,,,
301,KYLIN,PIN 2N 72 OZ 100 INGUN,P01-10297090,,9,0,0,9,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,2N 72 OZ 100 INGUN,P01-10297090,,,,
302,KYLIN,75 MIL PIN ,P01-75214050,1971FT850EBJA,17,0,0,17,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,75 MIL PIN ,P01-75214050,,,,
303,KYLIN,PIN,P02-00000016,,9,0,0,9,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P02-00000016,,,,
304,KYLIN,PIN,P02-75256155,,9,0,0,9,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P02-75256155,,,,
305,KYLIN,POWER PIN (BIG),P03-00000002,1971FT850EBJA,2,0,0,2,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,POWER PIN (BIG),P03-00000002,,,,
306,KYLIN,POWER PIN SMALL ,P03-00000003,1971FT850EBJA,2,0,0,2,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,POWER PIN SMALL ,P03-00000003,,,,
307,KYLIN,PIN EXTRA 3,P03-07530G00,1971FT850EBJA,8,0,0,8,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,EXTRA 3,P03-07530G00,,,,
308,KYLIN,TRX PIN HOLDER,P03-07547030,,8,0,0,8,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,CONNECTOR,P03-07547030,,,,
309,KYLIN,PIN,P03-07547G00,,10,0,0,10,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P03-07547G00,,,,
310,KYLIN,"MINI D RIBBON CONN, PLUG",ST433,,2,0,0,2,,M03,00A,BOX 5,PLUG,PLUG,M03-00A-BOX 5,,,,"MINI D RIBBON CONN, PLUG",ST433,,,,
311,KYLIN,PIN,P03-50000001,,10,0,0,10,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P03-50000001,,,,
312,KYLIN,RECEPTICAL,P03-KS150300,1971FT830EBJA,2,0,0,2,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,EXTRA 4,P03-KS150300,,,,
313,KYLIN,SCREW,M02-00000337,,5,0,0,5,,M03,00A,BOX 5,SCREW,SCREW,M03-00A-BOX 5,,,,SCREW,M02-00000337,,,,
314,KYLIN,"MCV 1,5/14-G-3,5-RN",5-RN,,44,0,0,44,,M03,00A,BOX 2,CONNECTOR,CONNECTOR,M03-00A-BOX 2,,,,"MCV 1,5/14-G-3,5-RN",5-RN,,,,
315,KYLIN,THERMAL PAD DESE PAD ,A99-40000134,,50,0,0,50,,M03,00A,BOX 2,PAD,PAD,M03-00A-BOX 2,,,,DESE PAD,A99-40000134,,,,
316,KYLIN,RADIALL RF SWITCH R.22.F2004643 0-16 GHZ UN 28V,R573 413 610,,4,0,0,4,,M03,00A,SHELF 4,COIL,COIL,M03-00A-SHELF 4,,ORBIS SYSTEM,INDIA,COIL,R573 413 610,,,,
317,KYLIN,PIN,P04-10250500,,10,0,0,10,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P04-10250500,,,,
318,KYLIN,SFP MODULE- OPTICAL MODULE,OPAK-S01-13-CG-A/472948A,,5,0,0,5,,M03,00A,SHELF 5,SFP,SFP,M03-00A-SHELF 5,,,,SFP MODULE- OPTICAL MODULE,OPAK-S01-13-CG-A/472948A,,,,
319,FLEXI RRH,6GB  SFP + 300M 850NM MM,472579A.101,,0,0,0,0,,M03,00A,SHELF 5,SFP,SFP,M03-00A-SHELF 5,,NOKIA FINLAND,FINLAND,6GB  SFP ,472579A.101,,,,
320,KYLIN,AZNA Thermal gel dispensing stencil,14533001-1 P390861,,2,1,0,1,,M03,00B,SHELF 1,PLATE,PLATE,M03-00B-SHELF 2,,,,AZNA Thermal gel dispensing stencil,14533001-1 P390861,,,,
321,KYLIN,AZNA Thermal dispensing jig,P350238 01 ,,2,0,0,2,,M03,00B,SHELF 1,PLATE,PLATE,M03-00B-SHELF 2,,,,AZNA Thermal dispensing jig,P350238 01 ,,,,
322,FLEXI RRH,GEL PRINTING PANEL STENCIL (TEMPORARY) FZHN,P337928 14533003,,1,0,0,1,,M03,00B,SHELF 1,PLATE,PLATE,M03-00B-SHELF 2,,,,GEL PRINTING PANEL STENCIL (TEMPORARY) FZHN,P337928 14533003,,,,
323,KYLIN,RUBBER SLEVE,RUBBER SLEVE,,1,0,0,1,,M03,00A,BOX 3,SLEEVE,GASKET,M03-00A-BOX 3,,,,RUBBER SLEVE,RUBBER SLEVE,,,,
324,KYLIN,POWER CONNECTOR - APPB CO056119,474282A.101,C10-748591-Z2S,62,1,0,61,,M03,00A,SHELF 5,CONNECTOR,CONNECTOR,M03-00A-SHELF 5,,NOKIA FINLAND,FINLAND,POWER CONNECTOR - APPB,474282A.101,,,,
325,KYLIN,LED ANALYZER,FEASA 3-F,,0,0,0,0,,M03,00A,SHELF 3,SENSER,SENSER,M03-00A-SHELF 3,MULTIPLE PROJECTS,,,LED ANALYZER,FEASA 3-F,,,,
326,KYLIN,DC RELAY FOR CPST,005-000052-00,,5,0,0,5,,M03,00A,SHELF 5,RELAY,RELAY,M03-00A-SHELF 5,,,,DC RELAY FOR CPST,005-000052-00,,,,
327,KYLIN,RF SEALING BLOCK FOR PATS,NA1,,1,0,0,1,,M03,00B,SHELF 3,PLATE,PLATE,M03-00B-SHELF 3,,,,RF SEALING BLOCK FOR PATS,NA1,,,,
328,KYLIN,PIN,P04--50000001,,8,0,0,8,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,P04--50000001,,,,
329,KYLIN,PIN KS-075 47 E03,PO3-07547030,,23,0,0,23,,M03,00A,BOX 1,PIN,PIN,M03-00A-BOX 1,,ORBIS SYSTEM,INDIA,PIN,PO3-07547030,,,,
330,KYLIN,AISG WITH PIN,V08-AZNAA018,,5,0,0,5,,M03,00A,BOX 1,COVER,COVER,M03-00A-BOX 1,,,,AISG ,V08-AZNAA018,,,,
331,KYLIN,HOLDING PIN FOR CPST,AHFBA084/V08,,5,0,0,5,,M03,00A,BOX 5,SCREW,SCREW,M03-00A-BOX 5,,,,HOLDING PIN FOR CPST,AHFBA084/V08,,,,
332,ASOF,PROBE FOR ASCF GRANDING,PROBE FOR ASCF GRANDING,,4,0,0,4,,M02,00A,BOX 1,PICTURE,PIN,M02-00B-BOX 1,,NOKIA CHINA,CHINA,,,,,,
333,ASOF,PROBE FOR ASCF HIPOT,PROBE FOR ASCF HIPOT,,4,0,0,4,,M02,00A,BOX 1,PICTURE,PIN,M02-00B-BOX 1,,NOKIA CHINA,CHINA,,,,,,
334,KYLIN,POWER MATING 2 PIN CONNECTOR,161/162,,2,0,0,2,,M03,00A,BOX 5,CONNECTOR/M&F,CONNECTOR,M03-00A-BOX 5,,,,POWER MATING CONNECTOR 2PIN,161/162,,,,
335,KYLIN,RF PIN BLOCK FOR PATS,NA5,,2,0,0,2,,M03,00A,BOX 5,SCREW,SCREW,M03-00A-BOX 5,,,,RF PIN BLOCK FOR PATS,NA5,,,,
336,KYLIN,50 PIN GUIDE BLOCK FZHN PATS,NA6,,2,0,0,2,,M03,00A,BOX 5,COVER,COVER,M03-00A-BOX 5,,,,50 PIN GUIDE BLOCK FZHN PATS,NA6,,,,
337,KYLIN,LMI CARD COVER,A01-00016044,,0,0,0,0,,M03,00A,BOX 5,COVER,COVER,M03-00A-BOX 5,MULTIPLE PROJECTS,,,LMI CARD COVER,A01-00016044,,,,
338,FRM3.3.2 & VEGAS,RF CONNECTOR FOR TUNING ,R191.553.700,PINS,30,0,0,30,TUN2 TEST BENCH,M03,00C,BOX 1,RF CONNECTOR,PIN,M03-00C-BOX 1,,RADIALL INDIA PVT LTD.,BENGALURU,TUN2 TEST BENCH CONNECTOR 3,R191.553.700,,,,
339,FRM3.3.2 & VEGAS,TRX RECEPTICLE - 100MILL,RECEPTACLE KS-100 47 G,PINS,204,0,0,204,,M03,00C,BOX 1,RECEPTICLE,PIN,M03-00C-BOX 1,FRM 3.2/ VEGAS/ QUASAR/ AIRSCALE SM/ GALVATRON,ORBIS SYSTEM,INDIA,RFM3.2 (6),RECEPTACLE KS-100 47 G,,,,
340,KYLIN,TERMINAL BLOC 14 PIN CONNECTOR,CSF21011080,,26,0,0,26,,M03,00A,BOX 5,CONNECTOR,CONNECTOR,M03-00A-BOX 5,,,,TERMINAL BLOC 14 PIN CONNECTOR,CSF21011080,,,,
341,KYLIN,CONNECTOR GUIDE BLOCK FOR PATS,NA10,,9,0,0,9,,M03,00A,BOX 5,CONNECTOR,CONNECTOR,M03-00A-BOX 5,,,,CONNECTOR GUIDE BLOCK FOR PATS,NA10,,,,
342,KYLIN,AZNA RFBB AUTOMATIC TI 12C ADAPTER TRANS A00/PSU COVER,SF55012A0/ V08-AZNAA048,,5,0,0,5,,M03,00A,BOX 5,CONNECTOR,CONNECTOR,M03-00A-BOX 5,,,,AZNA RFBB AUTOMATIC TI 12C ADAPTER TRANS A00/PSU COVER,SF55012A0/ V08-AZNAA048,,,,
343,FRM3.3.2 & VEGAS,RECEPTICLE RH 5 SC,RH 5 SC,PINS,218,2,0,216,,M03,00C,BOX 1,RECEPTICLE,PIN,M03-00C-BOX 1,FRM 3.2/ VEGAS/ QUASAR/ MEDUSA/ FSM REL3,ORBIS SYSTEM,INDIA,FRGT/FRGS SPAREPARTS FOR PSU (CPST)(1),RH 5 SC,,,,
344,KYLIN,14.5V BLOCK CPST,NA2,,2,0,0,2,,M03,00A,BOX 5,PIN,PIN,M03-00A-BOX 5,,,,14.5V BLOCK CPST,NA2,,,,
345,KYLIN,SERIAL TO SERIAL CABLE,109-000159-00,,10,0,0,10,,M03,00A,SHELF 4,CABLE,CABLE,M03-00A-SHELF 4,,,,VGA TO VGA CABLE,109-000159-00,,,,
346,KYLIN,SF INSPECTION TOOL,P543444,,1,0,0,1,,M03,00A,SHELF 5,TOOL,TOOL,M03-00A-SHELF 5,,,,SF INSPECTION TOOL,P543444,,,,
347,FLEXI RRH,TAD OBSAI CARD E117864,E117863.E117862.E114306,,3,0,0,3,,M03,00A,BOX 8,CARD,CARD,M03-00A-BOX 8,FRM 3.2/ VEGAS/ FLEXI RRH,NOKIA FINLAND,FINLAND,TAD CARD,E117863.E117862.E114306,,,,
348,FLEXI RRH,N TO N RF CABLE 2M ,41.430.300-Y83/M3269,,0,0,0,0,,M03,00B,SHELF 1,CABLE,CABLE,M03-00B-SHELF 2,,,,N TO N RF CABLE 2M ,41.430.300-Y83/M3269,,,,
349,FLEXI RRH,OPTICAL CABLE WITHOUT SFP,994807D,,0,0,0,0,,M03,00A,BOX 3,CABLE,CABLE,M03-00A-BOX 3,MULTIPLE PROJECTS,,,OPTICAL CABLE WITHOUT SFP,994807D,,,,
350,FLEXI RRH,SMA TO SMA CABLE 1.5M,SMA TO SMA CABLE 1.5M,,1,0,0,1,,M03,00A,BOX 3,CABLE,CABLE,M03-00A-BOX 3,,,,SMA TO SMA CABLE 1.5M,SMA TO SMA CABLE 1.5M,,,,
351,FLEXI RRH,TX ADAPTER  ,17K132-K00S5,,15,0,0,15,,M03,00A,SHELF 5,ADAPTER,ADAPTER,M03-00A-SHELF 5,,ROSENBERGER ELECTRONIC INDIA,MANESAR,TX ADAPTER  ,17K132-K00S5,,,,
352,FLEXI RRH,TX ADAPTER  FOR FZNI,119K732-K0AS5,,53,0,0,53,,M03,00A,SHELF 5,ADAPTER,ADAPTER,M03-00A-SHELF 5,,ROSENBERGER ELECTRONIC INDIA,MANESAR,TX ADAPTER  FOR FZNI,119K732-K0AS5,,,,
353,FLEXI RRH,RF CABLE N TO N  3M,41.430.300-D16,,0,0,0,0,,M03,00B,SHELF 1,CABLE,CABLE,M03-00B-SHELF 2,,,,N TO N RF CABLE 3M,41.430.300-D16,,,,
354,FLEXI RRH,RF CABLE N TO SMA 2M,CPE 41-DH6 SN M5216,,1,0,0,1,,M03,00B,SHELF 1,CABLE,CABLE,M03-00B-SHELF 2,,,,N TO N SMA RF CABLE 2M,CPE 41-DH6 SN M5216,,,,
355,FLEXI RRH,SMA F BHD-SMOMAX SNP F ,"R191,553.100",,99,0,0,99,,M03,00A,SHELF 4,ADAPTER,CONNECTOR,M03-00A-SHELF 4,,,,SMA F BHD-SMOMAX SNP F ,"R191,553,100",,,,
356,FLEXI RRH,SMPMAX MF SLIDE 24.4MM C100,R222M30060,,100,0,0,100,,M03,00A,SHELF 5,ADAPTER,ADAPTER,M03-00A-SHELF 5,,RADIALL INDIA PVT LTD.,,SMPMAX MF SLIDE 24.4MM C100,R222M30060,,,,
357,FLEXI RRH,ADAPTER P -SMP(M) - SMA(F),119S132-K00S5,,11,0,0,11,,M03,00A,BOX 4,ADAPTER,CONNECTOR,M03-00A-BOX 4,,ORBIS SYSTEM,INDIA,ADAPTER P -SMP(M) - SMA(F),119S132-K00S5,,,,
358,FLEXI RRH,ADAPTER P -SMP(F) - SMA(F),119K132-K00L5,,10,0,0,10,,M03,00A,SHELF 5,ADAPTER,CONNECTOR,M03-00A-SHELF 5,,ROSENBERGER ELECTRONIC INDIA,MANESAR,ADAPTER P -SMP(F) - SMA(F),119K132-K00L5,,,,
359,FLEXI RRH,COVER,"00086220 , V08-FZHJ0010",,1,0,0,1,,M03,00A,BOX 8,COVER,COVER,M03-00A-BOX 8,,,,COVER,"00086220 , V08-FZHJ0010",,,,
360,FLEXI RRH,CIPCLIP ,"00086222 , V08-FZHJ0001",,20,0,0,20,,M03,00A,BOX 8,CIRCLIP,CIRCLIP,M03-00A-BOX 8,,,,CIPCLIP ,"00086222 , V08-FZHJ0001",,,,
361,FLEXI RRH,CARD SETCARD,"00086219 , V08-FZHJ0009",,1,0,0,1,,M03,00A,BOX 8,CARD SET CARD,CARD SET CARD,M03-00A-BOX 8,,,,CARD SETCARD,"00086219 , V08-FZHJ0009",,,,
362,FLEXI RRH,SPRING,"00086225, W13-0000050/WL8-10",,1,0,0,1,,M03,00A,BOX 8,SPRING,SPRING,M03-00A-BOX 8,,,,SPRING,"00086225, W13-0000050/WL8-10",,,,
363,FLEXI RRH,GASKET,V08FZHJ0000,,30,0,0,30,,M03,00A,BOX 8,GASKET,GASKET,M03-00A-BOX 8,,,,GASKET,V08FZHJ0000,,,,
364,FLEXI RRH,LAN CABLE 12016 3 MTR FHDI,TRD695SCR-BL-10,,1,0,0,1,,M04,00B,SHELF 5,PICTURE,CABLE,M04-00B-SHELF 5,,,,,,,,,
